"","CID_id","mol_id","action_id"
"562",514,1342,1
"563",243,1331,1
"564",1142,1233,1
"565",716,1386,1
"566",690,1349,1
"567",32,1331,1
"568",517,1440,1
"569",12,1246,1
"570",1133,1283,1
"571",45,1242,1
"572",370,1385,1
"573",162,1512,1
"574",537,1386,1
"575",474,1242,1
"576",331,1342,1
"577",518,1353,1
"578",394,1242,1
"579",1058,1252,1
"580",473,1735,1
"581",202,1329,1
"582",1094,1273,1
"583",355,1283,1
"584",146,1337,1
"585",63,1385,1
"586",288,1343,1
"587",279,1351,1
"588",1225,1549,1
"589",118,1476,1
"590",971,1349,1
"591",150,1510,1
"592",215,1398,1
"593",360,1347,1
"594",117,1343,1
"595",776,1278,1
"596",77,1345,1
"597",98,1286,1
"598",331,1343,1
"599",98,1283,1
"600",515,1343,1
"601",895,1345,1
"602",12,1247,1
"603",63,1342,1
"604",1142,1958,1
"605",107,1440,1
"606",976,1440,1
"607",719,1249,1
"608",198,1283,1
"609",12,1254,1
"610",32,1332,1
"611",684,1291,1
"612",618,1512,1
"613",793,1291,1
"614",503,1353,1
"615",410,1381,1
"616",605,1243,1
"617",146,1353,1
"618",63,1285,1
"619",1086,1273,1
"620",1160,1765,1
"621",113,1345,1
"622",713,1739,1
"623",1086,1263,1
"624",355,1287,1
"625",691,1839,1
"626",360,1501,1
"627",608,1321,1
"628",19,1286,1
"629",395,1485,1
"630",279,1337,1
"631",499,1671,1
"632",1164,1480,1
"633",611,1442,1
"634",776,1337,1
"635",38,1348,1
"636",433,1286,1
"637",447,1278,1
"638",38,1343,1
"639",776,1291,1
"640",965,1341,1
"641",835,1481,1
"642",348,1350,1
"643",235,1283,1
"644",178,1273,1
"645",39,1349,1
"646",148,1286,1
"647",292,1242,1
"648",1017,1920,1
"649",1048,1345,1
"650",67,1242,1
"651",1087,1885,1
"652",375,1351,1
"653",434,1243,1
"654",906,1389,1
"655",145,1399,1
"656",77,1351,1
"657",288,1388,1
"658",465,1481,1
"659",834,1481,1
"660",895,1348,1
"661",939,1291,1
"662",915,1906,1
"663",517,1399,1
"664",714,1387,1
"665",1171,1510,1
"666",360,1389,1
"667",360,1349,1
"668",906,1384,1
"669",623,1278,1
"670",124,1283,1
"671",63,1389,1
"672",1174,1337,1
"673",448,1287,1
"674",736,1291,1
"675",815,1558,1
"676",684,1278,1
"677",360,1343,1
"678",435,1242,1
"679",1159,1324,1
"680",434,1261,1
"681",482,1428,1
"682",712,1283,1
"683",502,1337,1
"684",939,1350,1
"685",698,1283,1
"686",288,1285,1
"687",690,1337,1
"688",243,1329,1
"689",195,1558,1
"690",171,1249,1
"691",349,1652,1
"692",916,1388,1
"693",690,1387,1
"694",580,1370,1
"695",63,1387,1
"696",173,1388,1
"697",349,1351,1
"698",348,1342,1
"699",521,1381,1
"700",150,1328,1
"701",1053,1512,1
"702",1105,1531,1
"703",1117,1652,1
"704",562,1349,1
"705",447,1349,1
"706",972,1259,1
"707",811,1440,1
"708",477,1287,1
"709",784,1331,1
"710",194,1291,1
"711",502,1351,1
"712",611,1485,1
"713",920,1909,1
"714",490,1671,1
"715",108,1331,1
"716",62,1345,1
"717",1086,1272,1
"718",1219,1291,1
"719",920,1543,1
"720",412,1329,1
"721",33,1337,1
"722",1054,1480,1
"723",1054,1388,1
"724",1202,1381,1
"725",117,1347,1
"726",360,1388,1
"727",98,1287,1
"728",1108,1337,1
"729",582,1242,1
"730",906,1345,1
"731",163,1242,1
"732",1058,1247,1
"733",239,1286,1
"734",716,1387,1
"735",19,1287,1
"736",1221,1399,1
"737",178,1262,1
"738",910,1341,1
"739",971,1350,1
"740",433,1283,1
"741",77,1389,1
"742",996,1900,1
"743",32,1329,1
"744",929,1283,1
"745",39,1351,1
"746",433,1287,1
"747",1142,1597,1
"748",558,1381,1
"749",1202,1486,1
"750",118,1480,1
"751",288,1385,1
"752",77,1388,1
"753",77,1387,1
"754",534,1278,1
"755",1114,1920,1
"756",63,1387,1
"757",12,1249,1
"758",546,1343,1
"759",63,1347,1
"760",784,1381,1
"761",1090,1345,1
"762",77,1349,1
"763",1123,1955,1
"764",792,1399,1
"765",647,1381,1
"766",120,1481,1
"767",1106,1385,2
"768",61,1386,2
"769",999,1561,2
"770",892,1396,2
"771",402,1384,2
"772",228,1259,2
"773",201,1260,2
"774",118,1336,2
"775",1197,1399,2
"776",86,1260,2
"777",716,1285,2
"778",251,1385,2
"779",960,1664,2
"780",1017,1380,2
"781",935,1341,2
"782",404,1260,2
"783",370,1345,2
"784",894,1384,2
"785",1190,1937,2
"786",694,1273,2
"787",254,1349,2
"788",1075,1260,2
"789",393,1667,2
"790",1095,1260,2
"791",1138,1350,2
"792",712,1250,2
"793",125,1349,2
"794",242,1291,2
"795",221,1278,2
"796",1176,1261,2
"797",1015,1385,2
"798",170,1385,2
"799",675,1433,2
"800",1081,1259,2
"801",750,1305,2
"802",118,1349,2
"803",549,1762,2
"804",233,1386,2
"805",818,1260,2
"806",61,1260,2
"807",1125,1305,2
"808",927,1396,2
"809",1013,1278,2
"810",842,1386,2
"811",222,1384,2
"812",794,1260,2
"813",1018,1384,2
"814",31,1260,2
"815",432,1392,2
"816",61,1259,2
"817",696,1841,2
"818",403,1664,2
"819",177,1260,2
"820",913,1309,2
"821",123,1260,2
"822",710,1393,2
"823",716,1384,2
"824",68,1399,2
"825",431,1242,2
"826",118,1260,2
"827",692,1291,2
"828",726,1532,2
"829",1197,1261,2
"830",375,1345,2
"831",277,1353,2
"832",876,1351,2
"833",175,1507,2
"834",185,1285,2
"835",935,1350,2
"836",873,1260,2
"837",659,1385,2
"838",1218,1344,2
"839",1167,1393,2
"840",329,1399,2
"841",148,1385,2
"842",818,1259,2
"843",137,1260,2
"844",228,1260,2
"845",745,1683,2
"846",750,1304,2
"847",966,1235,2
"848",125,1387,2
"849",649,1278,2
"850",702,1291,2
"851",185,1260,2
"852",288,1387,2
"853",375,1388,2
"854",1113,1410,2
"855",431,1440,2
"856",251,1341,2
"857",21,1291,2
"858",204,1260,2
"859",293,1291,2
"860",196,1561,2
"861",256,1557,2
"862",369,1260,2
"863",1143,1960,2
"864",144,1506,2
"865",935,1285,2
"866",118,1341,2
"867",143,1259,2
"868",552,1257,2
"869",652,1260,2
"870",1075,1259,2
"871",277,1278,2
"872",954,1532,2
"873",949,1383,2
"874",814,1278,2
"875",843,1386,2
"876",1166,1440,2
"877",716,1259,2
"878",61,1385,2
"879",969,1393,2
"880",616,1807,2
"881",709,1304,2
"882",432,1260,2
"883",63,1349,2
"884",1176,1266,2
"885",711,1259,2
"886",733,1342,2
"887",1208,1260,2
"888",1052,1341,2
"889",413,1350,2
"890",932,1447,2
"891",676,1341,2
"892",175,1242,2
"893",652,1351,2
"894",254,1260,2
"895",418,1260,2
"896",506,1260,2
"897",710,1337,2
"898",621,1384,2
"899",61,1350,2
"900",143,1346,2
"901",62,1385,2
"902",1197,1270,2
"903",982,1433,2
"904",841,1384,2
"905",1111,1523,2
"906",702,1278,2
"907",1095,1337,2
"908",406,1681,2
"909",306,1337,2
"910",15,1278,2
"911",1208,1321,2
"912",690,1389,2
"913",510,1396,2
"914",1039,1260,2
"915",872,1384,2
"916",140,1495,2
"917",1167,1260,2
"918",126,1278,2
"919",501,1349,2
"920",416,1305,2
"921",328,1336,2
"922",1080,1399,2
"923",201,1393,2
"924",879,1291,2
"925",125,1390,2
"926",140,1305,2
"927",649,1350,2
"928",1056,1384,2
"929",251,1349,2
"930",464,1396,2
"931",125,1389,2
"932",675,1430,2
"933",838,1384,2
"934",374,1249,2
"935",921,1351,2
"936",143,1343,2
"937",1218,1349,2
"938",954,1531,2
"939",716,1346,2
"940",124,1390,2
"941",61,1346,2
"942",484,1336,2
"943",1218,1343,2
"944",1138,1343,2
"945",1096,1238,2
"946",164,1532,2
"947",1048,1384,2
"948",1098,1337,2
"949",484,1337,2
"950",771,1721,2
"951",649,1349,2
"952",143,1386,2
"953",946,1396,2
"954",1218,1336,2
"955",716,1385,2
"956",921,1385,2
"957",62,1285,2
"958",993,1260,2
"959",370,1285,2
"960",710,1350,2
"961",652,1414,2
"962",6,1239,2
"963",338,1239,2
"964",432,1321,2
"965",175,1399,2
"966",935,1291,2
"967",797,1305,2
"968",814,1291,2
"969",381,1260,2
"970",1176,1276,2
"971",125,1350,2
"972",1122,1260,2
"973",716,1349,2
"974",652,1350,2
"975",223,1426,2
"976",419,1249,2
"977",39,1278,2
"978",304,1532,2
"979",1197,1265,2
"980",844,1349,2
"981",1210,1974,2
"982",410,1704,2
"983",238,1574,2
"984",1138,1739,2
"985",144,1505,2
"986",710,1260,2
"987",733,1350,2
"988",1081,1321,2
"989",239,1256,2
"990",673,1663,2
"991",1136,1335,2
"992",652,1385,2
"993",767,1721,2
"994",791,1350,2
"995",21,1278,2
"996",144,1504,2
"997",161,1260,2
"998",652,1285,2
"999",1167,1259,2
"1000",1138,1349,2
"1001",155,1321,2
"1002",1044,1901,2
"1003",850,1748,2
"1004",692,1278,2
"1005",61,1321,2
"1006",710,1386,2
"1007",791,1351,2
"1008",25,1305,2
"1009",322,1304,2
"1010",681,1291,2
"1011",501,1259,2
"1012",289,1337,2
"1013",969,1260,2
"1014",652,1337,2
"1015",921,1336,2
"1016",613,1250,2
"1017",488,1250,2
"1018",890,1389,2
"1019",987,1792,2
"1020",791,1388,2
"1021",84,1421,2
"1022",942,1341,2
"1023",568,1668,2
"1024",869,1399,2
"1025",327,1433,2
"1026",125,1346,2
"1027",808,1440,2
"1028",659,1260,2
"1029",143,1342,2
"1030",1081,1260,2
"1031",304,1475,2
"1032",325,1385,2
"1033",832,1386,2
"1034",1050,1589,2
"1035",935,1388,2
"1036",805,1384,2
"1037",1098,1351,2
"1038",322,1305,2
"1039",25,1304,2
"1040",1118,1663,2
"1041",419,1260,2
"1042",643,1399,2
"1043",791,1259,2
"1044",240,1259,2
"1045",709,1633,2
"1046",277,1291,2
"1047",1017,1871,2
"1048",652,1393,2
"1049",61,1285,2
"1050",239,1250,2
"1051",468,1390,2
"1052",774,1345,2
"1053",676,1336,2
"1054",689,1390,2
"1055",118,1259,2
"1056",501,1350,2
"1057",1177,1614,2
"1058",673,1664,2
"1059",726,1531,2
"1060",432,1259,2
"1061",1013,1353,2
"1062",873,1259,2
"1063",1218,1346,2
"1064",1102,1335,2
"1065",432,1393,2
"1066",1131,1386,2
"1067",1181,1396,2
"1068",512,1288,2
"1069",954,1530,2
"1070",204,1259,2
"1071",924,1361,2
"1072",613,1256,2
"1073",710,1348,2
"1074",240,1260,2
"1075",842,1385,2
"1076",935,1414,2
"1077",418,1321,2
"1078",1176,1267,2
"1079",254,1347,2
"1080",1088,1399,2
"1081",1176,1262,2
"1082",1023,1807,2
"1083",501,1392,2
"1084",771,1247,2
"1085",521,1239,2
"1086",82,1239,2
"1087",726,1848,2
"1088",844,1387,2
"1089",362,1656,2
"1090",149,1291,2
"1091",675,1431,2
"1092",337,1396,2
"1093",402,1389,2
"1094",1113,1450,2
"1095",1193,1369,2
"1096",592,1386,2
"1097",1048,1336,2
"1098",251,1337,2
"1099",598,1341,2
"1100",273,1249,2
"1101",762,1249,2
"1102",350,1336,2
"1103",198,1432,2
"1104",935,1384,2
"1105",652,1384,2
"1106",369,1259,2
"1107",1197,1273,2
"1108",136,1386,2
"1109",882,1532,2
"1110",716,1386,2
"1111",894,1386,2
"1112",151,1259,2
"1113",1131,1349,2
"1114",686,1836,2
"1115",41,1260,2
"1116",1124,1287,2
"1117",345,1349,2
"1118",947,1589,2
"1119",143,1349,2
"1120",890,1385,2
"1121",125,1386,2
"1122",414,1260,2
"1123",429,1384,2
"1124",39,1291,2
"1125",1110,1412,2
"1126",596,1384,2
"1127",504,1260,2
"1128",1096,1350,2
"1129",993,1259,2
"1130",406,1684,2
"1131",300,1291,2
"1132",164,1528,2
"1133",1100,1335,2
"1134",1059,1929,2
"1135",306,1260,2
"1136",221,1291,2
"1137",125,1260,2
"1138",592,1384,2
"1139",859,1894,2
"1140",1169,1380,2
"1141",706,1844,2
"1142",254,1350,2
"1143",842,1384,2
"1144",982,1435,2
"1145",143,1285,2
"1146",675,1435,2
"1147",1197,1268,2
"1148",125,1347,2
"1149",251,1260,2
"1150",716,1342,2
"1151",429,1336,2
"1152",61,1384,2
"1153",649,1336,2
"1154",676,1260,2
"1155",74,1291,2
"1156",791,1260,2
"1157",185,1259,2
