"","CID_id","mol_id","action_id"
"647",915,1906,1
"648",1114,1920,1
"649",690,1387,1
"650",776,1291,1
"651",360,1389,1
"652",835,1481,1
"653",145,1399,1
"654",349,1351,1
"655",178,1273,1
"656",465,1481,1
"657",834,1481,1
"658",288,1285,1
"659",996,1900,1
"660",815,1558,1
"661",288,1389,1
"662",447,1349,1
"663",375,1351,1
"664",1142,1597,1
"665",906,1389,1
"666",482,1428,1
"667",502,1337,1
"668",971,1350,1
"669",611,1485,1
"670",98,1287,1
"671",118,1480,1
"672",558,1381,1
"673",243,1329,1
"674",195,1558,1
"675",239,1286,1
"676",811,1440,1
"677",920,1543,1
"678",434,1261,1
"679",580,1370,1
"680",712,1283,1
"681",502,1351,1
"682",939,1350,1
"683",63,1347,1
"684",1221,1399,1
"685",63,1387,1
"686",178,1262,1
"687",1105,1531,1
"688",1117,1652,1
"689",349,1652,1
"690",784,1331,1
"691",412,1329,1
"692",916,1388,1
"693",477,1287,1
"694",77,1387,1
"695",910,1341,1
"696",348,1342,1
"697",792,1399,1
"698",12,1249,1
"699",163,1242,1
"700",108,1331,1
"701",62,1345,1
"702",1058,1247,1
"703",173,1388,1
"704",929,1283,1
"705",77,1388,1
"706",582,1242,1
"707",1086,1272,1
"708",194,1291,1
"709",1202,1381,1
"710",77,1349,1
"711",288,1385,1
"712",534,1278,1
"713",433,1287,1
"714",33,1337,1
"715",19,1287,1
"716",906,1345,1
"717",1054,1388,1
"718",546,1343,1
"719",77,1389,1
"720",148,1286,1
"721",39,1351,1
"722",647,1381,1
"723",1123,1955,1
"724",120,1481,1
"725",336,1250,25
"726",1068,1935,25
"727",336,1248,25
"728",336,1253,25
"729",1092,1949,25
"730",451,1322,25
"731",336,1246,25
"732",336,1252,25
"733",336,1255,25
"734",336,1254,25
"735",336,1247,25
"736",336,1256,25
"737",336,1251,25
"738",451,1323,25
"739",1068,1736,25
"740",336,1249,25
"741",1100,1380,2
"742",842,1386,2
"743",432,1260,2
"744",254,1349,2
"745",177,1260,2
"746",1190,1937,2
"747",927,1396,2
"748",1143,1960,2
"749",201,1260,2
"750",61,1386,2
"751",1081,1259,2
"752",1018,1384,2
"753",892,1396,2
"754",1015,1385,2
"755",251,1385,2
"756",750,1304,2
"757",733,1342,2
"758",402,1384,2
"759",1106,1385,2
"760",694,1273,2
"761",696,1841,2
"762",61,1260,2
"763",716,1384,2
"764",1095,1260,2
"765",913,1309,2
"766",1075,1260,2
"767",999,1561,2
"768",403,1664,2
"769",659,1385,2
"770",228,1259,2
"771",370,1345,2
"772",125,1349,2
"773",675,1433,2
"774",118,1349,2
"775",960,1664,2
"776",118,1336,2
"777",1197,1399,2
"778",86,1260,2
"779",716,1285,2
"780",123,1260,2
"781",1125,1305,2
"782",1013,1278,2
"783",1176,1261,2
"784",894,1384,2
"785",222,1384,2
"786",794,1260,2
"787",329,1399,2
"788",118,1260,2
"789",1017,1380,2
"790",61,1259,2
"791",935,1341,2
"792",404,1260,2
"793",712,1250,2
"794",1052,1341,2
"795",170,1385,2
"796",702,1291,2
"797",879,1291,2
"798",68,1399,2
"799",431,1242,2
"800",288,1387,2
"801",1167,1393,2
"802",393,1667,2
"803",1197,1261,2
"804",242,1291,2
"805",1138,1350,2
"806",818,1260,2
"807",175,1507,2
"808",185,1285,2
"809",221,1278,2
"810",710,1392,2
"811",148,1385,2
"812",935,1285,2
"813",118,1341,2
"814",1113,1410,2
"815",750,1305,2
"816",375,1345,2
"817",549,1762,2
"818",814,1278,2
"819",143,1386,2
"820",872,1384,2
"821",966,1235,2
"822",710,1393,2
"823",185,1260,2
"824",175,1242,2
"825",1218,1344,2
"826",969,1393,2
"827",328,1336,2
"828",31,1260,2
"829",306,1321,2
"830",137,1260,2
"831",233,1386,2
"832",61,1350,2
"833",876,1351,2
"834",164,1528,2
"835",143,1349,2
"836",416,1305,2
"837",125,1389,2
"838",501,1350,2
"839",61,1385,2
"840",652,1351,2
"841",692,1291,2
"842",432,1392,2
"843",251,1341,2
"844",844,1349,2
"845",277,1353,2
