,CID,mol_id,action,CID_id,mol_id_id,id
261,4740,3420185,inhibitor,383,1154,0
262,110635,3420185,inhibitor,390,1154,0
263,110634,3420185,inhibitor,416,1154,0
264,3108,3420185,inhibitor,487,1154,0
265,9869929,3420185,inhibitor,847,1154,0
266,5531,3420185,inhibitor,1003,1154,0
267,11671467,3420185,inhibitor,1059,1154,0
268,2519,10716052,inhibitor,23,1155,0
269,110635,10716052,inhibitor,390,1155,0
270,5531,10716052,inhibitor,1003,1155,0
271,2519,5566609,inhibitor,23,1156,0
272,3182,5566609,inhibitor,295,1156,0
273,5531,5566609,inhibitor,1003,1156,0
274,2519,16417190,inhibitor,23,1157,0
275,5531,16417190,inhibitor,1003,1157,0
276,2519,32261241,inhibitor,23,1158,0
277,5531,32261241,inhibitor,1003,1158,0
278,3878,177990,inhibitor,241,1159,0
279,5212,189703,inhibitor,25,1160,0
280,5212,1311544,inhibitor,25,1161,0
281,71329,487738,inhibitor,26,1162,0
282,2179,487738,inhibitor,74,1162,0
283,3114,487738,inhibitor,77,1162,0
284,60753,487738,inhibitor,97,1162,0
285,2092,487738,inhibitor,120,1162,0
286,4893,487738,inhibitor,179,1162,0
287,3696,487738,inhibitor,180,1162,0
288,5253,487738,inhibitor,198,1162,0
289,3157,487738,inhibitor,263,1162,0
290,2520,487738,inhibitor,301,1162,0
291,2733526,487738,inhibitor,309,1162,0
292,441074,487738,inhibitor,446,1162,0
293,3823,487738,inhibitor,528,1162,0
294,4913,487738,inhibitor,533,1162,0
295,16362,487738,inhibitor,577,1162,0
296,2157,487738,inhibitor,587,1162,0
297,2585,487738,inhibitor,601,1162,0
298,667468,487738,inhibitor,604,1162,0
299,5401,487738,inhibitor,615,1162,0
300,4932,487738,inhibitor,630,1162,0
301,37393,487738,inhibitor,653,1162,0
302,2562,487738,inhibitor,1029,1162,0
303,71329,5712621,inhibitor,26,1163,0
304,208898,5712621,inhibitor,797,1163,0
305,71329,567019,inhibitor,26,1164,0
306,5770,292335,inhibitor,27,1165,0
307,8550,292335,inhibitor,568,1165,0
308,9294,292335,inhibitor,712,1165,0
