"","CID_id","mol_id","action_id"
"2503",420,1707,0
"2076",569,1370,2
"3244",880,1557,0
"3646",579,1792,0
"764",792,1399,1
"1571",865,1895,2
"1148",125,1347,2
"2410",485,1741,0
"298",77,1285,1
"3881",25,1318,0
"896",506,1260,2
"1518",791,1384,2
"2302",550,1700,5
"3134",389,1449,0
"3004",624,1811,0
"3726",125,1276,0
"149",1083,1386,1
"2648",207,1354,0
"421",1086,1276,1
"3874",259,1582,0
"1182",306,1259,2
"2371",524,1356,0
"1985",818,1321,2
"3463",112,1469,0
"2463",484,1452,0
"1508",987,1790,2
"2389",75,1406,0
"1792",369,1392,2
"3535",954,1623,0
"327",899,1291,1
"126",202,1332,1
"3550",216,1417,0
"2748",297,1366,0
"1660",149,1278,2
"4029",726,1852,6
"2991",889,1435,0
"4026",726,1853,6
"1042",643,1399,2
"1964",1197,1267,2
"1640",1204,1499,2
"240",1142,1776,1
"2923",866,1292,0
"1271",198,1433,2
"192",412,1333,1
"473",437,1337,1
"4040",269,1591,4
"3324",667,1356,0
"2803",1041,1530,0
"3067",705,1843,0
"1766",375,1341,2
"3146",314,1402,0
"3722",924,1888,0
"3561",94,1436,0
"1453",1218,1337,2
"1098",251,1337,2
"870",1075,1259,2
"1994",444,1721,2
"3331",813,1415,0
"3944",416,1316,0
"411",348,1345,1
"2317",493,1358,5
"1484",143,1341,2
"1214",427,1450,2
"1196",143,1385,2
"3285",28,1326,0
"2955",265,1265,0
"1790",198,1430,2
"1358",1045,1527,2
"2542",561,1772,0
"2201",118,1479,7
"468",1142,1959,1
"811",222,1384,2
"843",137,1260,2
"3333",112,1415,0
"1063",1218,1346,2
"503",175,1440,1
"1045",709,1633,2
"2015",1218,1348,2
"3171",343,1649,0
"140",1215,1765,1
"3094",90,1238,0
"2005",596,1392,2
"3437",767,1452,0
"3203",102,1443,0
"2930",569,1292,0
"1191",341,1502,2
"3435",779,1842,0
"1410",1110,1450,2
"1552",872,1385,2
"21",778,1794,10
"1465",711,1249,2
"2627",768,1240,0
"1906",982,1432,2
"1408",1180,1341,2
"3847",410,1662,0
"1751",690,1336,2
"3151",121,1484,0
"3864",390,1666,0
"2118",200,1350,7
"1937",429,1501,2
"367",774,1278,1
"2799",954,1530,0
"3645",471,1441,0
"2548",20,1289,0
"3671",799,1418,0
"834",185,1285,2
"2103",170,1479,7
"2016",1081,1392,2
"2992",1220,1435,0
"895",418,1260,2
"170",1117,1349,1
"2468",1203,1923,0
"2504",187,1550,0
"927",649,1350,2
"2415",957,1914,0
"796",1176,1261,2
"718",1219,1291,1
"2881",1146,1507,0
"469",239,1283,1
"930",464,1396,2
"3758",911,1468,0
"3819",1038,1526,0
"1018",890,1389,2
"3590",665,1383,0
"2692",788,1335,0
"932",675,1430,2
"1335",160,1384,2
"1438",932,1419,2
"2080",418,1392,2
"135",546,1342,1
"1224",710,1336,2
"2112",578,1430,7
"2933",1203,1922,0
"2902",265,1270,0
"3208",179,1544,0
"1215",794,1321,2
"3470",493,1314,0
"3228",90,1383,0
"335",1209,1512,1
"935",921,1351,2
"867",143,1259,2
"3749",1203,1999,0
"3197",44,1358,0
"703",1117,1652,1
"2107",367,1337,7
"2899",1214,1281,0
"659",834,1481,1
"1570",671,1829,2
"3468",1129,1314,0
"3742",544,1288,0
"3984",1170,1670,12
"303",487,1381,1
"118",299,1336,1
"2413",265,1259,0
"1369",1102,1380,2
"2762",265,1387,0
"2255",1115,1413,11
"2175",170,1346,7
"1414",677,1341,2
"546",976,1399,1
"4031",726,1849,6
"2772",758,1449,0
"1322",596,1414,2
"2066",1096,1349,2
"234",92,1242,1
"3318",1203,2017,0
"960",710,1350,2
"1376",578,1390,2
"2176",254,1267,7
"2963",664,1573,0
"1277",935,1351,2
"1905",771,1246,2
"3021",485,1745,0
"154",12,1251,1
"1121",125,1386,2
"2742",328,1412,0
"3589",248,1579,0
"1676",894,1385,2
"2520",671,1828,0
"136",146,1351,1
"2051",143,1390,2
"2626",224,1240,0
"1989",716,1387,2
"2885",265,1385,0
"2258",560,1358,11
"2445",447,1725,0
"644",178,1273,1
"2156",170,1342,7
"3644",609,1441,0
"201",457,1291,1
"3815",306,1409,0
"272",1163,1970,1
"679",1159,1324,1
"3748",785,1456,0
"2646",905,1306,0
"1861",631,1254,2
"461",1105,1952,1
"1577",918,1349,2
"2718",370,1238,0
"1501",148,1390,2
"1875",125,1387,2
"3215",1203,1994,0
"3600",265,1276,0
"424",792,1396,1
"2019",283,1292,2
"1156",791,1260,2
